clip_id,num_models,agreement_rate,prediction_entropy,mean_confidence,majority_class_id,majority_label,majority_vote_count,vote_count_0_Highly Disengage,vote_proportion_0_Highly Disengage,vote_count_1_Disengage,vote_proportion_1_Disengage,vote_count_2_Engage,vote_proportion_2_Engage,vote_count_3_Highly Engage,vote_proportion_3_Highly Engage,predicted_id__openface_mlp/weighted_ce,predicted_label__openface_mlp/weighted_ce,confidence__openface_mlp/weighted_ce,predicted_id__lstm/weighted_ce,predicted_label__lstm/weighted_ce,confidence__lstm/weighted_ce,predicted_id__transformer/ce,predicted_label__transformer/ce,confidence__transformer/ce,predicted_id__temporal_cnn/weighted_ce,predicted_label__temporal_cnn/weighted_ce,confidence__temporal_cnn/weighted_ce,predicted_id__i3d_mlp/ce,predicted_label__i3d_mlp/ce,confidence__i3d_mlp/ce,predicted_id__openface_tcn_i3d_fusion/ce,predicted_label__openface_tcn_i3d_fusion/ce,confidence__openface_tcn_i3d_fusion/ce
first_quarter_0004_10s,6,0.26666666666666666,0.7295739585136223,0.6751316537459692,2,Engage,3,2,0.3333333333333333,0,0.0,3,0.5,1,0.16666666666666666,0,Highly Disengage,0.4191874265670776,2,Engage,0.4409992396831512,2,Engage,0.8118179440498352,2,Engage,0.999749720096588,3,Highly Engage,0.5905822515487671,0,Highly Disengage,0.7884533405303955
first_quarter_0006_10s,6,0.4,0.6258145836939114,0.6496000587940216,2,Engage,4,1,0.16666666666666666,1,0.16666666666666666,4,0.6666666666666666,0,0.0,2,Engage,0.2898933887481689,0,Highly Disengage,0.5201449394226074,2,Engage,0.8310259580612183,2,Engage,0.9999446868896484,2,Engage,0.5119661092758179,1,Disengage,0.7446252703666687
first_quarter_0009_10s,6,0.6666666666666666,0.32501121082417705,0.8043964505195618,3,Highly Engage,5,1,0.16666666666666666,0,0.0,0,0.0,5,0.8333333333333334,3,Highly Engage,0.9034436345100404,3,Highly Engage,0.7867307662963867,3,Highly Engage,0.7340197563171387,3,Highly Engage,0.9996811151504515,3,Highly Engage,0.6419191956520081,0,Highly Disengage,0.7605842351913452
first_quarter_0010_10s,6,0.4,0.5,0.6240794857343038,1,Disengage,3,0,0.0,3,0.5,3,0.5,0,0.0,2,Engage,0.2898933887481689,1,Disengage,0.515674352645874,1,Disengage,0.5033714175224304,2,Engage,0.9999983310699464,2,Engage,0.7952740788459778,1,Disengage,0.6402653455734253
first_quarter_0011_10s,6,0.13333333333333333,0.9591479170272448,0.5374584992726644,1,Disengage,2,1,0.16666666666666666,2,0.3333333333333333,2,0.3333333333333333,1,0.16666666666666666,1,Disengage,0.2871891558170318,1,Disengage,0.4558418095111847,2,Engage,0.3036897182464599,3,Highly Engage,0.939990758895874,2,Engage,0.5670211315155029,0,Highly Disengage,0.6710184216499329
first_quarter_0013_10s,6,0.4,0.6258145836939114,0.6237018803755442,2,Engage,4,1,0.16666666666666666,1,0.16666666666666666,4,0.6666666666666666,0,0.0,2,Engage,0.2847809791564941,2,Engage,0.6433621644973755,1,Disengage,0.6042731404304504,2,Engage,0.966764748096466,2,Engage,0.4956559538841247,0,Highly Disengage,0.7473742961883545
first_quarter_0014_10s,6,0.26666666666666666,0.7295739585136223,0.6138552029927572,2,Engage,3,0,0.0,2,0.3333333333333333,3,0.5,1,0.16666666666666666,2,Engage,0.2898933887481689,3,Highly Engage,0.3543039560317993,1,Disengage,0.6749947667121887,2,Engage,0.9707194566726683,2,Engage,0.8337413668632507,1,Disengage,0.5594782829284668
first_quarter_0015_10s,6,0.4666666666666667,0.4591479170272447,0.60038394232591,2,Engage,4,0,0.0,2,0.3333333333333333,4,0.6666666666666666,0,0.0,2,Engage,0.3537382185459137,2,Engage,0.300445556640625,1,Disengage,0.6321133375167847,2,Engage,0.9938919544219972,2,Engage,0.7608093023300171,1,Disengage,0.5613052845001221
first_quarter_0016_10s,6,0.26666666666666666,0.7295739585136225,0.520547111829122,2,Engage,3,1,0.16666666666666666,2,0.3333333333333333,3,0.5,0,0.0,1,Disengage,0.2847118973731994,2,Engage,0.6221252679824829,1,Disengage,0.4906380176544189,2,Engage,0.6988113522529602,2,Engage,0.4832215309143066,0,Highly Disengage,0.5437746047973633
first_quarter_0018_10s,6,0.4,0.6258145836939114,0.6575854818026224,2,Engage,4,0,0.0,1,0.16666666666666666,4,0.6666666666666666,1,0.16666666666666666,2,Engage,0.2974347770214081,2,Engage,0.4390952885150909,2,Engage,0.8567298650741577,3,Highly Engage,0.9020317196846008,2,Engage,0.6887508630752563,1,Disengage,0.761470377445221
first_quarter_0019_10s,6,0.4,0.6258145836939114,0.58108718196551,2,Engage,4,1,0.16666666666666666,0,0.0,4,0.6666666666666666,1,0.16666666666666666,2,Engage,0.3553915917873382,2,Engage,0.6008985638618469,2,Engage,0.4763893187046051,2,Engage,1.0,3,Highly Engage,0.5331107378005981,0,Highly Disengage,0.5207328796386719
first_quarter_0020_10s,6,0.26666666666666666,0.7295739585136225,0.5940363705158234,3,Highly Engage,3,1,0.16666666666666666,0,0.0,2,0.3333333333333333,3,0.5,2,Engage,0.3113556802272796,3,Highly Engage,0.8705659508705139,3,Highly Engage,0.4208029806613922,2,Engage,0.5262672901153564,3,Highly Engage,0.6311396956443787,0,Highly Disengage,0.8040866255760193
first_quarter_0025_10s,6,0.13333333333333333,0.9591479170272448,0.728536660472552,0,Highly Disengage,2,2,0.3333333333333333,1,0.16666666666666666,2,0.3333333333333333,1,0.16666666666666666,1,Disengage,0.2918030321598053,0,Highly Disengage,0.7776193618774414,2,Engage,0.8341963887214661,2,Engage,1.0,3,Highly Engage,0.7986002564430237,0,Highly Disengage,0.6690009236335754
