clip_id,agreement_rate,mean_confidence,majority_label
video10_103_person13,1.0,0.8109279175599416,Engage
video10_103_person2,0.5,0.5881200184424719,Disengage
video10_109_person0,0.5,0.6879419833421707,Engage
video10_110_person12,0.666667,0.47844308118025464,Engage
video10_110_person19,0.333333,0.495070348183314,Disengage
video10_110_person27,0.666667,0.5233070949713389,Engage
video10_111_person11,0.666667,0.5101978580156962,Disengage
video10_112_person27,0.5,0.5499660720427831,Disengage
video10_114_person6,0.5,0.6150734623273214,Disengage
video10_117_person12,0.666667,0.5212515940268835,Engage
video10_117_person6,0.666667,0.6450195709864298,Engage
video10_118_person17,0.833333,0.5316907167434692,Engage
video10_11_person6,1.0,0.5703628609577814,Disengage
video10_120_person1,0.5,0.5714817643165588,Disengage
video10_121_person11,1.0,0.8454513748486837,Highly Engage
video10_121_person6,0.666667,0.6310360829035441,Disengage
video10_124_person41,0.833333,0.7072319090366364,Engage
video10_125_person10,0.666667,0.6076929767926534,Engage
video10_127_person12,0.833333,0.4838075439135234,Engage
video10_12_person6,0.833333,0.6323428750038147,Disengage
video10_130_person12,0.833333,0.47290365397930145,Engage
video10_131_person0,0.5,0.701476181546847,Disengage
video10_132_person0,0.833333,0.6428338885307312,Engage
video10_132_person17,0.666667,0.6958427180846533,Disengage
video10_132_person6,0.666667,0.6305345396200815,Disengage
video10_134_person15,0.5,0.588074857989947,Engage
video10_136_person0,0.666667,0.6152457942565283,Engage
video10_138_person17,0.5,0.544686088959376,Disengage
video10_138_person9,0.5,0.5870326509078344,Disengage
video10_13_person15,0.833333,0.548915778597196,Engage
video10_13_person2,0.5,0.5867037177085876,Disengage
video10_143_person0,0.666667,0.5866864820321401,Highly Engage
video10_143_person12,0.833333,0.5339044580856959,Engage
video10_143_person3,1.0,0.6676613986492157,Engage
video10_144_person6,0.833333,0.6022815754016241,Engage
video10_145_person10,0.833333,0.5893858770529429,Engage
video10_145_person15,0.666667,0.5604902505874634,Engage
video10_146_person9,1.0,0.693115308880806,Disengage
video10_15_person14,0.833333,0.6430606792370478,Engage
video10_18_person1,0.833333,0.865373874704043,Highly Engage
video10_25_person12,0.5,0.47559987008571625,Highly Engage
video10_25_person18,0.5,0.5605420271555582,Engage
video10_26_person11,0.5,0.48050729433695477,Engage
video10_27_person0,1.0,0.7749034116665522,Engage
video10_28_person18,1.0,0.6566256036361059,Engage
video10_28_person5,0.666667,0.6424884051084518,Engage
video10_28_person6,0.833333,0.593095044294993,Engage
video10_29_person10,1.0,0.6585405965646108,Engage
video10_29_person14,0.5,0.5797894597053528,Engage
video10_29_person18,0.666667,0.5743652433156967,Engage
video10_29_person6,0.833333,0.7036689271529516,Engage
video10_30_person12,0.833333,0.5552197446425756,Engage
video10_30_person17,0.5,0.6814969529708227,Disengage
video10_30_person26,0.5,0.602324922879537,Engage
video10_30_person9,1.0,0.6937954872846603,Disengage
video10_31_person5,0.5,0.6195347209771475,Engage
video10_32_person11,0.666667,0.5931834975878397,Disengage
video10_33_person6,0.666667,0.4703429291645686,Disengage
video10_35_person6,0.666667,0.5626424004634222,Engage
video10_36_person27,0.666667,0.5872631619373957,Engage
video10_36_person6,1.0,0.5215396781762441,Engage
video10_37_person0,0.5,0.52988168100516,Disengage
video10_37_person1,1.0,0.7981130182743073,Disengage
video10_37_person6,0.666667,0.5508016049861908,Engage
video10_38_person3,1.0,0.7184908439715704,Engage
video10_38_person30,0.833333,0.6501444379488627,Disengage
video10_39_person15,0.5,0.5064647446076075,Engage
video10_39_person30,1.0,0.5564019332329432,Engage
video10_39_person7,0.5,0.7261290500561396,Engage
video10_39_person9,0.833333,0.6363522062699,Disengage
video10_3_person11,0.666667,0.6560115814208984,Disengage
video10_40_person17,0.666667,0.7213818480571111,Disengage
video10_40_person7,0.5,0.5346787522236506,Disengage
video10_41_person3,0.833333,0.6074947764476141,Engage
video10_42_person15,1.0,0.807223896185557,Disengage
video10_42_person2,0.5,0.6404227614402771,Disengage
video10_42_person27,0.833333,0.5574032862981161,Engage
video10_42_person6,0.833333,0.4856063624223073,Engage
video10_44_person0,0.5,0.5954604893922806,Disengage
