feature,group,private_mean_z,cmose_mean_z,abs_standardized_mean_diff,standardized_wasserstein,ks_statistic
i3d_0000,other,-0.5207718014717102,0.018274197354912758,0.5390459895133972,0.5533513007165761,0.22656712735397622
i3d_0001,other,1.9990254640579224,-0.07014699280261993,2.0691723823547363,2.069172396590469,0.48830281538512227
i3d_0002,other,-0.46742746233940125,0.016402311623096466,0.4838297665119171,0.5027359525820237,0.2712964119413461
i3d_0003,other,0.742046594619751,-0.02603885717689991,0.7680854797363281,0.8063056720069105,0.45193011304296526
i3d_0004,other,0.5135394930839539,-0.01802040822803974,0.5315598845481873,0.5361209537153679,0.26608963901802113
i3d_0005,other,1.033644437789917,-0.03627120703458786,1.0699156522750854,1.0699156034978037,0.3618039597602904
i3d_0006,other,0.9886912703514099,-0.03469375893473625,1.0233850479125977,1.0233849362359821,0.3173545432881841
i3d_0007,other,1.123431921005249,-0.039421893656253815,1.1628538370132446,1.1751666928291302,0.395871437667758
i3d_0008,other,-0.7687680125236511,0.026976527646183968,0.7957445383071899,0.8022237010657798,0.3940184847047573
i3d_0009,other,-0.18743395805358887,0.006577169988304377,0.1940111219882965,0.4264689030710585,0.22407130143079462
i3d_0010,other,0.25800076127052307,-0.009053404442965984,0.26705417037010193,0.30533616106658135,0.1671747457433611
i3d_0011,other,0.17194922268390656,-0.0060338182374835014,0.17798304557800293,0.18074977410744972,0.09920376467631459
i3d_0012,other,-0.16212864220142365,0.005689195357263088,0.1678178310394287,0.20469003624029986,0.109431881135165
i3d_0013,other,-1.7108510732650757,0.06003478914499283,1.7708858251571655,1.7715402049703055,0.8448421513180427
i3d_0014,other,0.2026708424091339,-0.007111846935003996,0.2097826898097992,0.21179189623224684,0.06894333599728442
i3d_0015,other,1.5060088634490967,-0.052846748381853104,1.558855652809143,1.5588555789540925,0.6225423901541592
i3d_0016,other,0.3641226887702942,-0.012777290306985378,0.37689998745918274,0.37689999481748837,0.11605082910689701
i3d_0017,other,-1.6568523645401,0.05813993886113167,1.7149922847747803,1.7176376465261827,0.7548280602170443
i3d_0018,other,-1.1949135065078735,0.041930221021175385,1.2368437051773071,1.2435922909567805,0.56191560051154
i3d_0019,other,2.34516978263855,-0.08229339867830276,2.4274632930755615,2.427463211277182,0.6608385392761664
i3d_0020,other,-0.7559294104576111,0.026526017114520073,0.7824554443359375,0.7871000008494008,0.4038569695780868
i3d_0021,other,0.021886052563786507,-0.0007679961272515357,0.02265404909849167,0.2390841871289131,0.11466662171408781
