feature,group,private_mean_z,cmose_mean_z,abs_standardized_mean_diff,standardized_wasserstein,ks_statistic
gaze_0_x,gaze,0.1287030130624771,-0.11751443892717361,0.24621745944023132,0.3511633100548658,0.17441941199376942
gaze_0_y,gaze,0.15064774453639984,-0.1375514268875122,0.28819918632507324,0.39751680313845295,0.19722681074766357
gaze_0_z,gaze,0.2554045021533966,-0.23320132493972778,0.4886058270931244,0.48860580047144403,0.4139068730529595
gaze_1_x,gaze,0.13853603601455688,-0.12649264931678772,0.2650286853313446,0.3832831307204087,0.22099155957943928
gaze_1_y,gaze,0.1981094628572464,-0.1808871626853943,0.3789966106414795,0.46932398898149474,0.23475683411214954
gaze_1_z,gaze,0.2460392564535141,-0.22465024888515472,0.4706895053386688,0.4706894979067448,0.3690383080218068
gaze_angle_x,gaze,0.1347285956144333,-0.12301618605852127,0.25774478912353516,0.36631242844202716,0.1568342192367601
gaze_angle_y,gaze,0.17886608839035034,-0.16331668198108673,0.3421827554702759,0.4528189472085618,0.21996558605919003
eye_lmk_x_0,eye_landmark_2d,0.7657899856567383,-0.6992172598838806,1.4650073051452637,1.4941867428245301,0.7740060163551402
eye_lmk_x_1,eye_landmark_2d,0.7683202624320984,-0.7015275955200195,1.4698479175567627,1.4970888699484466,0.7746044003115264
eye_lmk_x_2,eye_landmark_2d,0.775234043598175,-0.7078405022621155,1.4830745458602905,1.5060708610877487,0.7782017426012461
eye_lmk_x_3,eye_landmark_2d,0.7822391390800476,-0.7142363786697388,1.4964754581451416,1.5160673616349318,0.7832714174454829
eye_lmk_x_4,eye_landmark_2d,0.7854382991790771,-0.7171575427055359,1.5025959014892578,1.5210245415542496,0.7861610007788162
eye_lmk_x_5,eye_landmark_2d,0.7839311957359314,-0.7157813906669617,1.499712586402893,1.5188048123095175,0.7849459793613708
eye_lmk_x_6,eye_landmark_2d,0.776630699634552,-0.709115743637085,1.4857463836669922,1.508292111393772,0.7791463395638629
eye_lmk_x_7,eye_landmark_2d,0.7693360447883606,-0.7024549841880798,1.4717910289764404,1.4987133365932235,0.7758916569314642
eye_lmk_x_8,eye_landmark_2d,0.7589269876480103,-0.6929508447647095,1.4518778324127197,1.4872126922100861,0.7707821359034268
eye_lmk_x_9,eye_landmark_2d,0.7616673111915588,-0.6954530477523804,1.457120418548584,1.4899620761879244,0.7717901090342679
eye_lmk_x_10,eye_landmark_2d,0.7662134170532227,-0.6996038556098938,1.4658172130584717,1.4950701955276862,0.7736433216510904
eye_lmk_x_11,eye_landmark_2d,0.7728267312049866,-0.7056424021720886,1.4784691333770752,1.5034637226920546,0.7766470307632398
eye_lmk_x_12,eye_landmark_2d,0.780668318271637,-0.7128022313117981,1.493470549583435,1.5145995247398005,0.7813254088785047
eye_lmk_x_13,eye_landmark_2d,0.787416398525238,-0.7189636826515198,1.5063800811767578,1.5249674443045689,0.7868323890186917
eye_lmk_x_14,eye_landmark_2d,0.7929502129554749,-0.7240164279937744,1.5169665813446045,1.53416405558786,0.7910291471962616
eye_lmk_x_15,eye_landmark_2d,0.7877927422523499,-0.7193072438240051,1.507099986076355,1.5255504452584556,0.7869625778816199
eye_lmk_x_16,eye_landmark_2d,0.7807294726371765,-0.7128580212593079,1.4935874938964844,1.5146145292983104,0.780893691588785
eye_lmk_x_17,eye_landmark_2d,0.7736812829971313,-0.7064225673675537,1.480103850364685,1.504774235454004,0.7768003602024922
eye_lmk_x_18,eye_landmark_2d,0.7675657272338867,-0.7008387446403503,1.4684045314788818,1.4970595982430068,0.7743813765576324
eye_lmk_x_19,eye_landmark_2d,0.7626208662986755,-0.6963236927986145,1.45894455909729,1.4913143918372933,0.7721479361370716
eye_lmk_x_20,eye_landmark_2d,0.7736913561820984,-0.7064318656921387,1.4801232814788818,1.5043668568114459,0.7773590829439252
eye_lmk_x_21,eye_landmark_2d,0.7769942283630371,-0.7094476819038391,1.4864418506622314,1.508866695308815,0.7790011098130841
eye_lmk_x_22,eye_landmark_2d,0.7800456881523132,-0.7122337222099304,1.4922794103622437,1.513121876267596,0.7805477219626168
eye_lmk_x_23,eye_landmark_2d,0.7811101078987122,-0.7132055759429932,1.4943156242370605,1.5146182517197662,0.7813841121495327
eye_lmk_x_24,eye_landmark_2d,0.7796083688735962,-0.7118343710899353,1.4914426803588867,1.5124170603356402,0.7803239096573209
eye_lmk_x_25,eye_landmark_2d,0.7763693332672119,-0.7088769674301147,1.4852463006973267,1.50786522599471,0.7786564933800623
eye_lmk_x_26,eye_landmark_2d,0.7732452154159546,-0.7060242891311646,1.4792695045471191,1.5036586236314053,0.7769756035825546
eye_lmk_x_27,eye_landmark_2d,0.7721173167228699,-0.7049946188926697,1.4771119356155396,1.5022441513597626,0.7764565615264798
eye_lmk_x_28,eye_landmark_2d,0.8401402831077576,-0.7671040892601013,1.6072443723678589,1.6212820383332418,0.8279529984423676
eye_lmk_x_29,eye_landmark_2d,0.8411433696746826,-0.76801997423172,1.6091632843017578,1.6232359595051575,0.828527589563863
eye_lmk_x_30,eye_landmark_2d,0.8448312878608704,-0.7713873982429504,1.6162186861038208,1.6302567353315989,0.8316441783489097
eye_lmk_x_31,eye_landmark_2d,0.8488354086875916,-0.7750433087348938,1.6238787174224854,1.6378484403847202,0.8342020346573209
eye_lmk_x_32,eye_landmark_2d,0.8509159684181213,-0.776943027973175,1.6278589963912964,1.6418912059290698,0.8362114972741433
eye_lmk_x_33,eye_landmark_2d,0.8500610589981079,-0.7761624455451965,1.6262235641479492,1.6402458887373135,0.8354821553738319
eye_lmk_x_34,eye_landmark_2d,0.8466701507568359,-0.7730662822723389,1.6197364330291748,1.6336706389905553,0.8325124026479751
eye_lmk_x_35,eye_landmark_2d,0.842391848564148,-0.7691599130630493,1.6115517616271973,1.6254890404311528,0.8301196066978193
eye_lmk_x_36,eye_landmark_2d,0.8384162187576294,-0.7655298113822937,1.6039459705352783,1.6175556143429721,0.8246832359813083
eye_lmk_x_37,eye_landmark_2d,0.8404337167739868,-0.7673719525337219,1.6078057289123535,1.6214916403955506,0.8270014310747663
eye_lmk_x_38,eye_landmark_2d,0.8432636857032776,-0.7699560523033142,1.6132197380065918,1.627001606690185,0.8303577005451712
eye_lmk_x_39,eye_landmark_2d,0.8469352126121521,-0.7733083367347717,1.6202435493469238,1.6341382394417174,0.832860027258567
eye_lmk_x_40,eye_landmark_2d,0.8508517742156982,-0.7768843770027161,1.6277360916137695,1.6417243000958643,0.8356646904205608
eye_lmk_x_41,eye_landmark_2d,0.85448157787323,-0.7801986336708069,1.6346802711486816,1.6487523637848662,0.8408008372274144
eye_lmk_x_42,eye_landmark_2d,0.8577413558959961,-0.7831750512123108,1.640916347503662,1.655069178544285,0.8462453368380062
eye_lmk_x_43,eye_landmark_2d,0.8552863597869873,-0.7809333801269531,1.6362197399139404,1.6503225198084484,0.8417071553738318
eye_lmk_x_44,eye_landmark_2d,0.8521328568458557,-0.7780540585517883,1.630186915397644,1.6442053992052719,0.83683132788162
eye_lmk_x_45,eye_landmark_2d,0.8486303091049194,-0.7748562097549438,1.6234865188598633,1.6374219533861325,0.8333941394080997
eye_lmk_x_46,eye_landmark_2d,0.8448981642723083,-0.7714483737945557,1.6163465976715088,1.6301742159203263,0.8314862441588786
eye_lmk_x_47,eye_landmark_2d,0.8413439393043518,-0.7682031989097595,1.6095471382141113,1.6232560639904448,0.8280847157320872
eye_lmk_x_48,eye_landmark_2d,0.8447288870811462,-0.7712936997413635,1.6160225868225098,1.629924985959728,0.8317306756230529
eye_lmk_x_49,eye_landmark_2d,0.846489667892456,-0.7729015350341797,1.6193912029266357,1.6332895914511516,0.8325647780373832
eye_lmk_x_50,eye_landmark_2d,0.847974956035614,-0.7742576599121094,1.6222326755523682,1.636169415485021,0.833300477024922
eye_lmk_x_51,eye_landmark_2d,0.8483555316925049,-0.7746051549911499,1.6229606866836548,1.636902137197994,0.8335782515576323
eye_lmk_x_52,eye_landmark_2d,0.8474287986755371,-0.7737590670585632,1.6211879253387451,1.6350998017874967,0.8330488999221184
eye_lmk_x_53,eye_landmark_2d,0.8456963300704956,-0.7721772193908691,1.6178735494613647,1.6318115231518933,0.8321751070872274
eye_lmk_x_54,eye_landmark_2d,0.8441529273986816,-0.7707679271697998,1.6149208545684814,1.6288712371425953,0.8311965634735202
eye_lmk_x_55,eye_landmark_2d,0.8437438011169434,-0.7703943252563477,1.614138126373291,1.6280733619567,0.8310822819314642
eye_lmk_y_0,eye_landmark_2d,0.9139094948768616,-0.8344602584838867,1.7483696937561035,1.7537122919417356,0.930638765576324
eye_lmk_y_1,eye_landmark_2d,0.9101429581642151,-0.8310211300849915,1.7411640882492065,1.746146105998729,0.9283412091121496
eye_lmk_y_2,eye_landmark_2d,0.9084930419921875,-0.8295148015022278,1.7380077838897705,1.74285192551704,0.9269023656542056
eye_lmk_y_3,eye_landmark_2d,0.910142719745636,-0.8310209512710571,1.741163730621338,1.7461823449169644,0.9292165887850468
eye_lmk_y_4,eye_landmark_2d,0.9138819575309753,-0.8344351649284363,1.7483171224594116,1.7537097367881422,0.9312157807632399
